2325,2006-12-28 00:00:00,8,150,"Ultimo pago"
2296,2006-10-21 00:00:00,8,468,"Pago hasta 21 de octubre 06"
2296,2006-11-25 00:00:00,8,232,"Pago hasta 25 noviembre"
2296,2007-03-02 00:00:00,8,750,"Diciembre, enero y febrero"
2296,2008-03-03 00:00:00,8,150,"Entrega a cuenta el 29/02"
2296,2008-06-07 00:00:00,8,500,"Pago parte de estancia Roco, Beltza..."
2296,2008-07-02 00:00:00,8,700,"a cuenta  beltza roco"
2808,2006-08-24 00:00:00,8,500,"1ºplazo de adiestramiento"
2811,2009-11-30 00:00:00,3,150,"hasta 25 de noviembre"
2811,2010-02-02 00:00:00,3,120,"pagado diciembre,( le debiamos 30€)"
2811,2010-03-03 00:00:00,3,150," a cuenta febrero pagado"
2388,2006-02-03 00:00:00,8,600,"LIQUIDACION"
2388,2006-12-13 00:00:00,8,120,"Abono residencia"
2257,2006-12-26 00:00:00,3,84,"A CUENTA"
2267,2008-03-06 00:00:00,8,250,"Abono hasta el 15/03"
2267,2008-04-18 00:00:00,5,250,"Pago mes de abril"
2267,2008-05-09 00:00:00,8,230,"Ultimo pago"
2871,2006-12-16 00:00:00,3,450,"2º plazo adiestramiento"
2871,2006-12-16 00:00:00,8,17.600000381469727,"Compra collar y correa"
2872,2007-07-31 00:00:00,8,,"Apertura cuenta cliente"
2872,2008-07-31 00:00:00,9,13,"pago deuda"
0,2006-09-15 00:00:00,8,150,"descontado el % angel"
0,2006-12-29 00:00:00,8,150,"Ultimo plazo adiestramiento Beethoven"
0,2007-04-02 00:00:00,5,230,"Mes de abril"
0,2007-04-02 00:00:00,8,230,"Mes de marzo"
2949,2007-03-02 00:00:00,3,230,"Mes de marzo"
2949,2007-04-02 00:00:00,5,230,"Mes de Abril"
2949,2007-05-03 00:00:00,5,230,"Pago mes de mayo"
2949,2007-06-04 00:00:00,5,230,"Mes de Junio"
2960,2007-04-03 00:00:00,8,28,"Baño perros"
2968,2009-08-24 00:00:00,8,,"Apertura cuenta cliente"
2968,2009-09-07 00:00:00,3,105,"cerrar cuenta"
2971,2007-02-19 00:00:00,8,49,"a cuenta"
2979,2007-03-02 00:00:00,8,57.5,"Pago 10 dias"
2979,2007-04-02 00:00:00,8,230,"Mes de Marzo"
2979,2007-05-05 00:00:00,8,200,"Mes de Abril"
2979,2007-06-02 00:00:00,3,200,"Mes de Mayo"
2979,2007-08-04 00:00:00,3,100,"Mes de Julio"
2979,2007-09-01 00:00:00,8,100,"Mes de Agosto"
2624,2007-05-27 00:00:00,8,,"Apertura cuenta cliente"
2624,2007-05-31 00:00:00,8,135,"Pago ultima estancia mayo"
2658,2013-05-06 00:00:00,9,96,"pendiente"
2658,2016-01-13 00:00:00,3,70,"cancela cuenta"
0,2007-05-05 00:00:00,8,200,"Mes de Abril"
0,2007-06-09 00:00:00,2,770.9000244140625,"Pago residencia hasta 14/06, veterinario, etc"
0,2008-07-16 00:00:00,8,700,"A CUENTA"
38,2005-03-03 00:00:00,1,420,"Pago meses Febrero y marzo"
55,2005-03-22 00:00:00,1,50,"Entrega de Reserva 477"
3038,2007-04-10 00:00:00,8,,"Nueva cuenta"
3038,2008-07-28 00:00:00,8,65,"error contable"
3039,2007-05-24 00:00:00,8,63,"Sobrante mes anterior"
3039,2007-07-27 00:00:00,8,250,"Mitad estancia agosto"
2279,2006-02-14 00:00:00,8,200,"A CUENTA"
2279,2006-03-31 00:00:00,8,200,"Entrega a cuenta mes de marzo"
2279,2006-06-28 00:00:00,8,500,"Mes abril, mayo y mitad junio"
2279,2006-10-10 00:00:00,8,700,"Mitad Junio, Julio, Agosto, Septiembre"
2281,2008-07-31 00:00:00,9,1,"anulación deuda"
2354,2006-11-15 00:00:00,8,370,"a cuenta adiestramiento"
2361,2009-09-20 00:00:00,3,300,"bono 15"
2361,2010-06-02 00:00:00,3,180,"BONO 15"
2361,2010-06-02 00:00:00,9,116,"REGULARIZO"
2936,2007-06-25 00:00:00,5,11,"FALTABA DEL 19/06"
2936,2007-06-25 00:00:00,8,11,"FALTABA DEL 19/06"
2949,2007-01-02 00:00:00,5,230,"Pago mes de Enero 2007"
2949,2007-02-02 00:00:00,5,230,"Pago mes de febrero 2007"
3057,2007-06-09 00:00:00,2,770.9000244140625,"Pago hasta 14/06 residencia, baños, veterinario, etc"
3057,2007-08-01 00:00:00,5,978,"Residencia y baños hasta 31 de Agosto"
3057,2007-10-27 00:00:00,2,600,"Abonado hasta el 31 de octubre"
3057,2008-01-16 00:00:00,8,600,"Abonado hasta 31 de diciembre 07"
2983,2007-07-02 00:00:00,8,400,"Liquidación"
2996,2007-08-22 00:00:00,8,,"Apertura cuenta cliente"
2996,2007-08-27 00:00:00,3,60,"Pago residencia"
3000,2007-07-03 00:00:00,8,30,"ANTICIPO"
3014,2012-06-29 00:00:00,8,48,"a cuenta"
2949,2007-08-06 00:00:00,5,230,"Pagado mes de Agosto"
2949,2007-09-07 00:00:00,5,230,"Mes de Septiembre"
2949,2007-10-02 00:00:00,5,230,"Mes de octubre"
