4267,"",2010-10-01 00:00:00
4922,"",2013-08-09 00:00:00
4924,"",2014-08-14 00:00:00
4928,"",2013-09-09 00:00:00
4946,"",2013-08-23 00:00:00
4957,"",2013-09-16 00:00:00
5010,"",2013-12-30 00:00:00
5016,"",2014-01-09 00:00:00
5027,"",2014-02-19 00:00:00
5028,"",2014-02-25 00:00:00
5033,"",2014-03-24 00:00:00
5037,"",2014-05-07 00:00:00
5039,"",2014-04-10 00:00:00
5041,"",2014-04-11 00:00:00
5043,"",2015-08-27 00:00:00
5053,"",2014-09-25 00:00:00
5066,"",2014-05-21 00:00:00
5074,"",2015-03-30 00:00:00
5083,"",2014-06-28 00:00:00
5088,"",2014-08-09 00:00:00
5130,"",2014-08-09 00:00:00
5136,"",2014-08-12 00:00:00
5139,"",2014-08-13 00:00:00
5141,"",2014-08-14 00:00:00
5144,"",2014-08-14 00:00:00
5149,"",2014-08-18 00:00:00
5156,"",2014-08-23 00:00:00
4994,"",2013-11-20 00:00:00
4999,"",2013-12-21 00:00:00
5002,"",2014-06-27 00:00:00
5008,"",2013-12-29 00:00:00
5158,"",2014-08-26 00:00:00
5159,"",2014-08-31 00:00:00
5162,"",2014-09-03 00:00:00
5175,"",2014-09-22 00:00:00
5184,"",2015-09-11 00:00:00
5187,"",2014-10-05 00:00:00
5221,"",2014-12-23 00:00:00
5222,"",2014-12-23 00:00:00
5231,"",2015-09-08 00:00:00
5249,"",2015-02-22 00:00:00
5255,"",2015-05-26 00:00:00
5259,"",2015-03-29 00:00:00
5264,"",2015-03-23 00:00:00
5266,"",2015-03-26 00:00:00
5096,"",2015-02-02 00:00:00
5098,"",2014-07-21 00:00:00
5104,"",2014-07-25 00:00:00
5108,"",2022-01-07 00:00:00
5129,"",2014-08-08 00:00:00
5288,"",2015-04-25 00:00:00
5293,"",2016-04-04 00:00:00
5316,"",2015-06-19 00:00:00
5318,"",2015-06-22 00:00:00
5321,"",2015-08-02 00:00:00
5322,"",2015-07-02 00:00:00
5333,"",2015-07-11 00:00:00
5340,"",2015-07-15 00:00:00
5341,"",2016-05-28 00:00:00
5342,"",2015-07-21 00:00:00
5343,"",2015-07-16 00:00:00
5346,"",2015-07-19 00:00:00
5188,"",2014-10-08 00:00:00
5191,"",2015-07-24 00:00:00
5194,"",2014-10-17 00:00:00
5204,"",2015-05-31 00:00:00
4870,"",2015-09-07 00:00:00
4872,"",2013-07-05 00:00:00
4884,"",2013-07-22 00:00:00
4903,"",2014-11-28 00:00:00
5402,"",2015-08-31 00:00:00
5410,"",2015-09-22 00:00:00
5419,"",2015-10-06 00:00:00
5427,"",2015-10-13 00:00:00
5439,"",2020-02-27 00:00:00
5508,"",2016-04-16 00:00:00
5509,"",2016-04-20 00:00:00
5524,"",2016-09-22 00:00:00
5536,"",2016-07-04 00:00:00
5550,"",2016-07-19 00:00:00
5555,"",2016-07-15 00:00:00
5559,"",2016-07-19 00:00:00
5573,"",2016-07-24 00:00:00
5365,"",2015-09-08 00:00:00
5367,"",2015-09-06 00:00:00
5374,"",2016-08-05 00:00:00
5381,"",2016-06-28 00:00:00
5392,"",2019-08-15 00:00:00
5396,"",2015-08-24 00:00:00
5574,"",2016-07-26 00:00:00
5578,"",2019-06-25 00:00:00
5588,"",2016-07-31 00:00:00
5618,"",2016-09-03 00:00:00
5633,"",2016-08-25 00:00:00
5635,"",2016-09-07 00:00:00
4456,"",2011-08-01 00:00:00
4458,"",2014-12-02 00:00:00
4461,"",2011-08-04 00:00:00
4462,"",2011-08-05 00:00:00
5704,"",2016-12-17 00:00:00
5730,"",2021-05-31 00:00:00
5735,"",2017-07-07 00:00:00
5740,"",2017-01-05 00:00:00
5746,"",2017-03-13 00:00:00
5749,"",2017-05-16 00:00:00
4810,"",2013-04-17 00:00:00
4812,"",2017-01-25 00:00:00
5643,"",2017-02-21 00:00:00
5673,"",2017-12-24 00:00:00
5679,"",2017-01-26 00:00:00
5682,"",2016-12-29 00:00:00
5683,"",2016-11-08 00:00:00
5698,"",2017-03-27 00:00:00
1068,"",2017-03-03 00:00:00
1145,"",2009-09-10 00:00:00
1163,"",2006-05-03 00:00:00
1327,"",2008-07-31 00:00:00
5812,"",2017-04-24 00:00:00
5819,"",2017-12-07 00:00:00
5825,"",2019-02-24 00:00:00
5829,"",2017-07-27 00:00:00
5831,"",2017-05-14 00:00:00
5860,"",2017-07-16 00:00:00
5972,"",2017-09-01 00:00:00
